SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1105 Holmes St,Raleigh,NC,27601,300000,3,2.0,Wake,1842,10890,1956,166,163,,Active,,,http://www.redfin.com/NC/Raleigh/1105-Holmes-St-27601/home/41084405,TMLS,2162366,N,Y,35.7663561,-78.6281267
MLS Listing,,Single Family Residential,3200 Caldwell Dr,Raleigh,NC,27607,385000,4,3.0,Meredith Woods,2793,24829,1968,172,138,,Active,,,http://www.redfin.com/NC/Raleigh/3200-Caldwell-Dr-27607/home/41060816,TMLS,2161955,N,Y,35.8100366,-78.6944928
MLS Listing,,Single Family Residential,541 Coalyard Dr,Garner,NC,27529,329900,4,3.0,Tunbridge,2540,12632,2017,172,130,38,Active,,,http://www.redfin.com/NC/Garner/Undisclosed-address-27529/home/143992144,TMLS,2161862,N,Y,35.672139,-78.58296
MLS Listing,,Single Family Residential,180 Tallowwood Dr,Garner,NC,27529,355000,4,4.0,Everwood,2740,12196,2017,172,130,15,Active,,,http://www.redfin.com/NC/Garner/180-Tallowwood-Dr-27529/home/144351878,TMLS,2161840,N,Y,35.6753349,-78.593521
MLS Listing,,Single Family Residential,557 Coalyard Dr,Garner,NC,27529,349900,4,4.0,Tunbridge,2740,13068,2017,173,128,38,Active,,,http://www.redfin.com/NC/Garner/Undisclosed-address-27529/home/143992139,TMLS,2161756,N,Y,35.671919,-78.582417
MLS Listing,,Single Family Residential,580 Coalyard Dr,Garner,NC,27529,359900,4,4.0,Tunbridge,2867,14374,2017,173,126,38,Active,,,http://www.redfin.com/NC/Garner/Undisclosed-address-27529/home/44547580,TMLS,2161752,N,Y,35.670841,-78.582254
MLS Listing,,Single Family Residential,172 Tallowwood Dr,Garner,NC,27529,365000,4,4.0,Everwood,2867,12196,2017,173,127,15,Active,,,http://www.redfin.com/NC/Garner/172-Tallowwood-Dr-27529/home/144091743,TMLS,2161734,N,Y,35.675328,-78.59321
MLS Listing,,Single Family Residential,1400 Opal Ct,Raleigh,NC,27615,315000,4,3.0,Emerald Point,2182,8712,1995,177,144,21,Active,,,http://www.redfin.com/NC/Raleigh/1400-Opal-Ct-27615/home/41200459,TMLS,2161148,N,Y,35.8997512,-78.6634226
MLS Listing,,Single Family Residential,2319 Derby Dr,Raleigh,NC,27610-1741,387000,3,3.0,Longview Park,1581,12196,1953,206,245,,Active,,,http://www.redfin.com/NC/Raleigh/2319-Derby-Dr-27610/home/41109166,TMLS,2156970,N,Y,35.7874772,-78.6062748
MLS Listing,,Single Family Residential,449 Rose Ln,Raleigh,NC,27610,398500,4,3.0,Wake,2409,13068,2018,256,165,,Active,,,http://www.redfin.com/NC/Raleigh/449-Rose-Ln-27610/home/113233660,TMLS,2148416,N,Y,35.7689062,-78.5986005
