SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
New Construction Plan,Single Family Residential,Floorplan 5035,The Woodlands,TX,77380,551990,4,4.0,The Woodlands: Canopy Green in Creekside Park,3172,,,3,Garage,25,Active,,,,,551990,,,http://www.redfin.com/TX/The-Woodlands/The-Woodlands-Canopy-Green-in-Creekside-Park/Floorplan-5035/home/103471731,Builder Digital eXperience (BDX),Plan-1163421,NewHomeSource.com,N,Y,30.145135,-95.558855,false
New Construction Plan,Single Family Residential,Floorplan 5030,The Woodlands,TX,77380,574990,4,3.5,The Woodlands: Canopy Green in Creekside Park,3154,,,3,Garage,25,Active,,,,,574990,,,http://www.redfin.com/TX/The-Woodlands/The-Woodlands-Canopy-Green-in-Creekside-Park/Floorplan-5030/home/103471732,Builder Digital eXperience (BDX),Plan-1163420,NewHomeSource.com,N,Y,30.145135,-95.558855,false
New Construction Plan,Single Family Residential,Floorplan 5024,The Woodlands,TX,77380,546990,4,4.0,The Woodlands: Canopy Green in Creekside Park,3224,,,3,Garage,25,Active,,,,,546990,,,http://www.redfin.com/TX/The-Woodlands/The-Woodlands-Canopy-Green-in-Creekside-Park/Floorplan-5024/home/103471734,Builder Digital eXperience (BDX),Plan-1163418,NewHomeSource.com,N,Y,30.145135,-95.558855,false
New Construction Plan,Single Family Residential,Floorplan 5012,The Woodlands,TX,77380,519990,4,3.5,The Woodlands: Canopy Green in Creekside Park,2760,,,3,Garage,25,Active,,,,,519990,,,http://www.redfin.com/TX/The-Woodlands/The-Woodlands-Canopy-Green-in-Creekside-Park/Floorplan-5012/home/103471736,Builder Digital eXperience (BDX),Plan-1163416,NewHomeSource.com,N,Y,30.145135,-95.558855,false
New Construction Plan,Single Family Residential,Floorplan 7451,Tomball,TX,77375,618990,4,4.5,"The Woodlands, Creekside 75s, Wooded Overlook",3930,,,3,Garage,25,Active,,,,,618990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7451/home/103182067,Builder Digital eXperience (BDX),Plan-1141030,NewHomeSource.com,N,Y,30.144118,-95.564015,false
New Construction Plan,Single Family Residential,Floorplan 7445,Tomball,TX,77375,617990,4,4.5,"The Woodlands, Creekside 75s, Wooded Overlook",3898,,,3,Garage,25,Active,,,,,617990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7445/home/103182068,Builder Digital eXperience (BDX),Plan-1141029,NewHomeSource.com,N,Y,30.144118,-95.564015,false
New Construction Plan,Single Family Residential,Floorplan 7436,Tomball,TX,77375,615990,4,4.5,"The Woodlands, Creekside 75s, Wooded Overlook",3685,,,3,Garage,25,Active,,,,,615990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7436/home/103182069,Builder Digital eXperience (BDX),Plan-1141028,NewHomeSource.com,N,Y,30.144118,-95.564015,false
New Construction Plan,Single Family Residential,Floorplan 7422,Tomball,TX,77375,574990,4,4.5,"The Woodlands, Creekside 75s, Wooded Overlook",3343,,,3,Garage,25,Active,,,,,574990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7422/home/103182070,Builder Digital eXperience (BDX),Plan-1141027,NewHomeSource.com,N,Y,30.144118,-95.564015,false
New Construction Plan,Single Family Residential,Floorplan 7411,Tomball,TX,77375,602990,4,4.5,"The Woodlands, Creekside 75s, Wooded Overlook",3682,,,2,Garage,25,Active,,,,,602990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7411/home/103182072,Builder Digital eXperience (BDX),Plan-1141025,NewHomeSource.com,N,Y,30.144118,-95.564015,false
New Construction Plan,Single Family Residential,Floorplan 7275,Tomball,TX,77375,640990,4,5.0,"The Woodlands, Creekside 75s, Wooded Overlook",4276,,,3,Garage,25,Active,,,,,640990,,,http://www.redfin.com/TX/Tomball/The-Woodlands-Creekside-75s-Wooded-Overlook/Floorplan-7275/home/103182073,Builder Digital eXperience (BDX),Plan-1141024,NewHomeSource.com,N,Y,30.144118,-95.564015,false
